ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
133,48,3785,803368,98,en,4
133,48,3280,803135,98,en,4
133,48,3314,803140,98,en,4
133,48,3418,803215,98,en,4
133,48,3359,803260,98,en,4
133,48,3795,803371,98,en,4
133,48,3245,803174,98,en,4
133,48,3267,803156,98,en,4
133,48,3529,803272,98,en,4
133,48,3726,803322,98,en,4
133,48,3352,803194,98,en,4
133,48,2994,803062,98,en,4
133,48,3144,803096,98,en,4
133,48,3152,803095,98,en,4
133,48,3556,803275,98,en,4
133,48,2888,803011,98,en,4
133,48,3700,803316,98,en,4
133,48,3334,803189,98,en,4
133,48,3537,803273,98,en,4
133,48,3159,803103,98,en,4
133,48,3384,803261,98,en,4
133,48,3303,803182,98,en,4
133,48,3584,803268,98,en,4
133,48,2885,803009,98,en,4
133,48,3284,803159,98,en,4
133,48,3328,803188,98,en,4
133,48,3589,803294,98,en,4
133,48,3148,803094,98,en,4
133,48,3296,803162,98,en,4
133,48,3382,803206,98,en,4
133,48,2981,803028,98,en,4
151,56,6797,818164,102,en,8
151,56,6621,818184,102,en,8
151,56,6783,818145,102,en,8
151,56,6717,818141,102,en,8
151,56,7226,818178,102,en,8
151,56,6997,818199,102,en,8
151,56,6790,818150,102,en,8
151,56,6712,818140,102,en,8
151,56,7276,818180,102,en,8
151,56,6858,818126,102,en,8
151,56,6886,818159,102,en,8
151,56,6694,818161,102,en,8
151,56,6791,818151,102,en,8
151,56,7229,818170,102,en,8
151,56,7003,818198,102,en,8
151,56,7028,818132,102,en,8
151,56,7149,818174,102,en,8
151,56,6883,818158,102,en,8
151,56,7181,818205,102,en,8
151,56,6808,818125,102,en,8
151,56,7323,818172,102,en,8
151,56,6931,818192,102,en,8
151,56,6813,818152,102,en,8
151,56,6904,818129,102,en,8
151,56,6716,818124,102,en,8
151,56,6882,818157,102,en,8
151,56,6894,818196,102,en,8
151,56,6694,818137,102,en,8
151,56,7247,818179,102,en,8
151,56,7143,818204,102,en,8
151,56,6621,818123,102,en,8
151,56,7066,818133,102,en,8
151,56,6789,818149,102,en,8
151,56,6637,818130,102,en,8
151,56,6789,818148,102,en,8
151,56,6903,818128,102,en,8
151,56,7015,818131,102,en,8
151,56,6774,818144,102,en,8
151,56,6808,818165,102,en,8
151,56,6717,818162,102,en,8
151,56,7043,818169,102,en,8
151,56,6716,818139,102,en,8
151,56,7089,818136,102,en,8
151,56,7182,818256,102,en,8
151,56,6905,818191,102,en,8
151,56,7129,818203,102,en,8
151,56,6681,818186,102,en,8
151,56,6774,818143,102,en,8
151,56,6903,818167,102,en,8
151,56,6667,818185,102,en,8
151,56,7278,818181,102,en,8
151,56,7285,818182,102,en,8
151,56,7090,818202,102,en,8
